state,location,plz,lat,lon
Sachsen,Dresden,1159,-33.0466998,-71.5754054
Sachsen,Leipzig,4105,-34.6165597,-58.5110546
Nordrhein Westfalen,Düsseldorf,40211,51.2292851,6.7957323
Bayern,Freising,85356,48.4056637,11.758093
Nordrhein Westfalen,Bielefeld,33739,52.0978504,8.5149911
Schleswig Holstein,Lübeck,23560,53.8421403,10.6792806
Sachsen Anhalt,Bitterfeld Wolfen,6749,51.6425032,12.3076334
Sachsen,Kirchberg,8107,48.0004475,13.63405
Nordrhein Westfalen,Gelsenkirchen,45881,51.5110321,7.0960124
Berlin,Berlin,12047,52.4904998,13.4319718
Bayern,München,81545,48.0964174,11.568229
Nordrhein Westfalen,Gelsenkirchen,45896,51.6025162,7.0710393
Niedersachsen,Großheide,26532,53.5921466,7.3439016
Nordrhein Westfalen,Porta Westfalica,32457,52.2600623,8.90737
Baden Württemberg,Hügelsheim,76549,48.7968767,8.1098252
Baden Württemberg,Lörrach,79541,47.6120896,7.6607218
Hamburg,Hamburg,22391,53.6322727,10.0632875
Niedersachsen,Göttingen,37085,51.5300218,9.9454352
Nordrhein Westfalen,Grefrath,47929,51.3241309,6.3833866
Bayern,Babenhausen,87727,48.143242,10.2540507
Nordrhein Westfalen,Bergisch Gladbach,51429,50.9929303,7.1277379
Sachsen,Taucha,4425,51.3799905,12.4936336
Nordrhein Westfalen,Köln,50667,50.941429,6.9562494
Nordrhein Westfalen,Essen,45356,51.4832093,6.9869623
Sachsen,Leipzig,4289,-34.6165597,-58.5110546
Thüringen,Eisenach,99817,50.9717199,10.3272408
Baden Württemberg,Backnang,71522,48.9466497,9.4306304
Niedersachsen,Stelle,21435,53.3764464,10.1189754
Hessen,Frankfurt am Main,60325,50.1151757,8.6527895
Sachsen,Radebeul,1445,51.0999765,13.6767995
Niedersachsen,Laatzen,30880,52.2914119,9.8104201
Rheinland Pfalz,Mainz,55131,50.0012314,8.2762513
Sachsen Anhalt,Altmarkkreis Salzwedel,39638,52.5110950844952,11.396959534615384
Sachsen Anhalt,Halle Saale,6130,51.5134896,11.955001603538504
Hessen,Wehrheim,61273,50.3012792,8.5837524
Nordrhein Westfalen,Hagen,58097,51.3582945,7.473296
Baden Württemberg,Stuttgart,70178,48.7704189,9.1664027
Sachsen Anhalt,Salzmünde,6198,51.5255008,11.8290042
Berlin,Berlin,14052,52.5159704,13.2609457
Brandenburg,Peitz,3185,51.8584667,14.4110395
Hessen,Frankfurt am Main,65929,50.107331342899705,8.540362638704073
Nordrhein Westfalen,Düsseldorf,40235,51.2285976,6.8261978
Nordrhein Westfalen,Düsseldorf,40470,51.2507173,6.814276
Bayern,Geretsried,82515,47.8646925,11.479351
Sachsen,Remse,8373,51.9567224,8.2715522
Berlin,Berlin,14199,52.4730033,13.2987409
Sachsen,Zwickau,8066,49.5916993,6.1350757
Mecklenburg Vorpommern,Prohn,18445,54.3690196,13.0244154
Schleswig Holstein,Altenholz,24161,54.3860772,10.1340278
Bayern,Augsburg,86150,48.3652673,10.887672
Baden Württemberg,Stuttgart,70599,48.7784485,9.1800132
Bayern,München,80336,48.1362771,11.5630882
Nordrhein Westfalen,Essen,45309,51.4582235,7.0158171
Bayern,München,81667,48.1281272,11.6000013
